"Locality","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"Portland Inlet",0.29,0.71,566,607,589
"Gil Island",0.34,0.66,536,583,562
"Finlayson Channel",0.25,0.75,576,631,602
"Dean/Burke Channel",0.39,0.61,561,622,596
