"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
72067,101,"D","A","T","A","D","T",,"A","T",,"A","T",,"A","T","A",,,,"A",,,,"T","A",,
72067,102,"T","A","D","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T",,
72067,103,"A","T","D","A","T","D","A","T","D","D","T","A","D","T","D","D","T","D","A","T","D","D","T","D","D",,
72067,104,"A","T","D","A","T","A","D","T","A","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D",,
72067,105,"T","A","A","T","A","A","T",,"A","T",,"A","T",,,"T","A",,"T","A","A","T","A","A","T",,
72067,106,,"T","A","A","T",,,"T","A",,,,"A",,,,"T","A",,"T",,"A","T",,,,
72067,107,"T","A","D","T","D",,"T","A","D","T","D","A",,,"A","T","A","A","T",,"A","T","A",,"T",,
72067,108,"A","T","D","A","T","D","D","T","D","D","T","D","A","T","A","D","T","D","D","T","D","D","T","D","D",,
72067,110,,,,"T",,"A","T","A",,,"A",,,"A",,,"A","A","T",,"A","T",,,,,
72067,111,"T","D",,"T","A","A","T","D","A","T","D","D",,"A","A,F","T","D","D","T","D","D","T","D","A","T",,
72067,112,,,"A","T","A","A","T",,"A","T","A","D",,"D","D","T",,"D","T","D","D","T",,,"T",,
72067,113,"T","A","T","A",,,"T","D","T","D","T","D","T",,"T","A","T","A",,"A","T","D","T","A","T",,
72067,114,"D","T","A","T",,"T","A","T","A","T","D","T",,"T","D","T","A","T","A","T","D","T",,"T",,,
72067,115,"T","D","T","T","A","T","D","D","T","D","D","T","D","D","D","T","D","D","T","A","D","T","D","D","D",,
72067,116,"A","T","D","T","D","D","T",,"D","T","D","T","A","T","A","T","D","D","T","D","D","T","D","A","T",,
72067,117,"T","D","D,F","T","A","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","A","T",,
72067,118,"A","T","D","T","D","T","D","T","A","T","D","T","D","T","D","T","A","T","D","T","A","T","D","T","D",,
72067,119,"T","D","T","D","T","A","D","T","D","D","T","D","D","T","D","T","D","D","T","D","T","D","D","T","D",,
72067,120,"D","T","A","T","A","T","D","T","D","T","D","T","A","T","D","T","D","T","D","T","D","T","D","T","D",,
72067,121,"T","D","T","A","T","D","T","D","T","D","T","D","T","D","T","D","D","T","D",,"T","D","D","T","A",,
72067,122,"D","T","D","T","A","D","T","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","T",,"T",,
72067,123,"T","D","T","A","T","D","T","D","T","A","T","D","T","A","T","D","T","D","T","D","T","D","T","D","T",,
72067,124,"D","T","A","T","D","T","A","T","D","T",,,"A","T","D","T","D","T","A","T","D","T",,"T","D",,
72067,125,"T","D","T","A","T","A","T","D","T","A","T","D","T","D","D","D","T","T","D","T","D","T","D","T","D",,
72067,126,"D","T","D","T","A","T","A","T","A","T","A","T","D","T","A","T","D","T","D","T","D","T","D","T","A",,
72067,127,"T","D","T","A","T","D","T","A","T","D","T","D","T","D","T","D","T","D,F","T","A","T","D","T","D","T",,
72067,128,"A",,,,,"T","A",,,"T",,,,"T",,,,,,,"A",,,,,,
72067,129,"T","A",,"A","T","A","T","A",,"D","T","D","A","T","D",,"D","T","A","T","D","T",,"T","A",,
72067,130,,"T",,"T","A","T","D","T",,,"A","T",,"T","D","T","D","T","D","T","D","T","D","T","D",,
72067,131,,"A","T","D","T","D","T","A","T","A","T","A","T","D","T","D","T","D","T","D","T","D","T",,,,
72067,132,"D","T",,,,"T","A","T","A","T","A","T","A","T","D","T","A","T","D","T","D","T","D","T","D",,
