"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",949.87
"Arrowtooth flounder","ATHERESTHES STOMIAS",42.65
