"SABLE_SET_TYPE","count","tagagainlive","tagdead","tagrelease","taglengthsample","samplecount"
"INLET STANDARDIZED",11034,103,0,4950,4948,1035
"NO SET TYPE",48,0,0,11,11,36
"StRS",22568,57,4,7580,7580,4894
