"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
89,389,158,2,0,43,45,593,53,53,53,53,53,53,0.68,582,663
90,103,27,0,0,14,14,687,13,13,13,13,13,13,0.23,620,693
91,56,15,0,0,3,3,696,12,12,12,12,12,12,0.33,667,674
92,77,27,0,0,5,5,628,22,22,22,22,22,22,0.59,634,645
93,461,175,2,0,70,72,614,50,50,50,50,50,50,0.72,618,676
94,900,397,0,0,118,118,577,52,52,52,52,52,52,0.9,558,654
95,153,84,0,0,14,14,577,50,50,50,50,50,50,0.22,606,540
96,32,15,0,0,4,4,540,11,11,11,11,11,11,0.73,598,540
97,861,267,0,0,101,101,638,45,45,45,45,45,45,0.44,589,680
98,52,10,0,0,1,1,839,9,9,9,9,9,9,0.22,684,809
99,32,7,0,0,2,2,732,5,5,5,5,5,5,0,0,760
100,483,220,1,0,69,70,575,52,52,52,52,52,52,0.21,608,569
101,146,34,0,0,9,9,736,20,20,20,20,20,20,0.05,629,695
102,1135,415,1,0,136,137,616,53,53,53,53,53,53,0.4,577,633
103,665,341,0,0,99,99,557,55,55,55,55,55,55,0.6,554,560
104,1100,516,0,0,146,146,579,50,50,50,50,50,50,0.46,573,621
105,249,75,0,0,35,35,681,41,41,41,41,41,41,0.63,672,684
106,75,18,0,0,8,8,700,10,10,10,10,10,10,0.4,652,799
107,317,93,0,0,34,34,681,44,44,44,44,44,44,0.5,650,699
108,673,241,0,0,68,68,624,51,51,51,51,51,51,0.61,593,652
110,128,30,0,0,13,13,700,17,17,17,17,17,17,0.29,645,711
111,429,222,0,0,109,109,553,52,52,52,52,52,52,0.27,519,577
112,226,81,0,0,17,17,654,51,51,51,51,51,51,0.33,558,601
113,390,194,0,0,108,108,569,53,53,53,53,52,53,0.4,555,600
114,1013,503,0,0,342,342,571,47,47,47,47,47,47,0.45,553,606
115,2563,1152,0,0,447,447,589,56,56,56,56,56,56,0.21,577,593
116,2098,930,0,0,336,336,599,54,54,54,54,54,54,0.26,584,604
117,2304,881,2,0,248,250,614,60,60,60,60,60,60,0.15,586,630
118,1227,627,0,0,376,376,565,58,58,58,58,58,58,0.29,534,586
119,1426,831,7,0,243,250,552,61,61,61,61,61,61,0.26,526,563
120,1200,603,4,0,297,301,561,56,56,56,56,56,56,0.3,541,585
121,1917,975,16,0,395,411,565,76,76,76,76,76,76,0.32,530,596
122,1860,968,14,0,413,427,566,54,54,54,54,54,54,0.54,545,586
123,1521,615,7,0,339,345,604,53,53,53,53,53,53,0.15,587,620
124,671,270,11,0,117,128,598,53,53,53,53,53,53,0.13,576,623
125,949,420,12,0,177,189,594,46,46,46,46,46,46,0.24,544,594
126,1171,410,5,0,217,221,615,56,56,56,56,56,56,0.39,609,698
127,1136,462,10,0,225,235,597,44,44,44,44,44,44,0.36,549,626
128,25,12,1,0,7,8,585,4,4,4,4,4,4,0.25,478,557
129,607,274,3,0,91,94,579,54,54,54,54,54,54,0.41,548,599
130,750,290,4,0,169,173,606,52,52,52,52,52,52,0.4,554,611
131,1114,402,5,0,193,198,614,49,49,49,49,49,49,0.39,590,669
132,494,215,2,0,107,109,566,49,49,49,49,49,49,0.39,563,621
132,78844,33650,160,4,12381,12539,,5959,5963,5957,5965,5963,5965,,,
