"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",2232.98
"Spiny dogfish","SQUALUS ACANTHIAS",1979.62
"Arrowtooth flounder","ATHERESTHES STOMIAS",1875.01
"Lingcod","OPHIODON ELONGATUS",1612.83
"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",652.12
