"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.55,0.45,590,622,603
"S1","RD2       ",0.74,0.26,544,586,547
"S1","RD3       ",0.24,0.76,583,663,640
"S2","RD1       ",0.42,0.58,624,692,647
"S2","RD2       ",0.72,0.28,595,677,620
"S2","RD3       ",0.4,0.6,600,670,639
"S3","RD1       ",0.29,0.71,610,668,603
"S3","RD2       ",0.72,0.28,580,657,601
"S3","RD3       ",0.33,0.67,608,698,657
"S4","RD1       ",0.19,0.81,649,715,715
"S4","RD2       ",0.48,0.52,617,696,653
"S4","RD3       ",0.6,0.4,612,719,642
"S5","RD1       ",0.29,0.71,589,636,619
"S5","RD2       ",0.48,0.52,585,653,635
"S5","RD3       ",0.52,0.48,636,721,640
