"SABLE_SET_TYPE","count","tagagainlive","tagdead","tagrelease","taglengthsample","samplecount"
"INLET STANDARDIZED",7507,20,0,3923,3919,1145
"OFFSHORE STANDARDIZED",3139,11,0,11,10,2635
"StRS",17375,67,3,5987,5984,4296
