"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",1436.04
"Spiny dogfish","SQUALUS ACANTHIAS",1130.61
"Lingcod","OPHIODON ELONGATUS",1009.13
"Arrowtooth flounder","ATHERESTHES STOMIAS",921.2
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",638.85
