"Year","lat","depth","temperature","Sets"
2011,50,198.2,6.7,43
2011,51,570.9,4.6,55
2011,49,845.8,3.8,34
2011,53,1271.1,2.7,98
2011,53,227.3,5.7,95
2011,52,320.7,5.6,83
2011,54,367.5,5.3,110
2011,51,290.1,5.7,74
2011,53,389,5.2,101
2011,49,551.6,4.8,30
2011,52,224.4,6.3,80
2011,50,318.4,6,47
2011,51,287.9,6.1,51
2011,52,255.5,5.9,77
2011,53,494.2,4.7,97
2011,51,346,4.9,73
2011,51,825.4,3.6,70
2011,53,782.8,3.7,94
2011,51,701.7,4.1,67
2011,52,1299.4,2.5,90
2011,54,305.6,5.9,111
2011,52,1200,2.9,87
2011,48,778.1,4,16
2011,48,1253.7,2.9,10
2011,53,505.9,4.7,104
2011,49,1137.5,3.1,33
2011,51,257.3,5.7,54
2011,51,221.4,6.3,57
